Crop_type,question ,answer
acid lime,caterpillar,Spray Quinolphos 30 ml / 15 liter water
bengal gram,caterpillar,Spray Takumi 5 GM + bavistin- 30 gram /15 liter water (Flubendamide 20%WGD)-Tata Rallis India
bitter groud,caterpillar,Spray of Quinolphos 30 ml/ 15 liter water.
brinjal,caterpillar,spraying of neem extract 2 ml / liter water
capsicum,caterpillar,SPRAY PROCLAIM 5 GM / 15 LITER WATER
cotton,caterpillar,Neem arc 20 ml/15 liter water.
cauliflower,caterpillar,Spray Profex super 30 ml/15 liter of water(Profenofos+ Cypermethrin) -Nagarjuna
chillies,caterpillar,Spray Proclaim 07 gm/15 liter of Water(Emamectin Benzoate)Syngenta
soybean,caterpillar,Spray Chloropyriphos 30 ml/15 Lit of Water.
marigold,caterpillar,Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta
maize,caterpillar,Spray Chloropyriphos 30ml/15 Lit of Water.
green gram,caterpillar,Spray Chloropyriphos 30 ml/15 Lit of Water.
onion,caterpillar,Spray Profex 30 ml/15 liter water.( Profenofos 40%) Nagarjuna
paddy,caterpillar,quinolphos 30 ml / 15 liter water
pigeonpea,caterpillar,SPRAY PROCLAIM 5 GM / 15 LITER WATER
rose,caterpillar,Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta
sorghum,caterpillar,emamectine benzoate 4gram in 10liter of water
bengal gram,fungal,Spray M-45 30 gm /15 liter water.(Mancozeb) INDOFIL
brinjal,fungal,SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL
cotton,fungal,SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL
soybean,fungal,SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL
bengal gram,drenching,DRAINCHING OF BLUE COPPER 40 GM + HUMIC ACID 30 ML/15 LITER WATER
brinjal,drenching,DRAINCHING OF BLUE COPPER 40 GM + HUMIC ACID 30 ML/15 LITER WATER
cabbage,drenching,Drenching Bavistine 30gm + Humic Acid 30ml/15 Lit of Water
chillies,drenching,Drenching of Blue Copper 30 gm / 15 liter of water(Copper Oxichloride)-syngenta
fenugreek,drenching,DRAINCHING OF BLUE COPPER 40 GM + HUMIC ACID 30 ML/15 LITER WATER
pigeonpea,drenching,DRAINCHING OF BLUE COPPER 40 GM + HUMIC ACID 30 ML/15 LITER WATER
turmeric,drenching,DRENCHING OF BLUE COPPER 40 GM + HUMIC ACID 30 ML /15 LITER WATER
bhindi,red mites,For control of red mites on bhindi Spray Oberon 15 ml / 15Lit of Water.(Spiromesifen) BAYER CROP SCIENCE
chillies,red mites,Spray Oberon 15 ml / 15Lit of Water.(Spiromesifen)
cotton,red mites,Spray omite 5ml/15 liter water .(Propargite 57% EC) DHANUKA
bhindi,white fly,Spray Pegasus 25 gm/ 15 lit of water (Diafenthiuron) SYNGENTA
brinjal,white fly,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
cabbage,white fly,Spray Marker 30 ml /15 liters of water (Bifenthrin 10% EC) DHANUKA
chillies,white fly,Spray Ullala 8 gm/15 Lit of Water.UPL
cotton,white fly,FOR CONTROL OF WHITE FLY ON COTTON SPRAY PRIDE - 7 GRAM / 15 LITRE WATER.
black gram,white fly,Spray Ullala 8 gm+m 45 30 gm/15 Lit of Water. (Flonicamid 50% WG) UPL
green gram,white fly,Spray Ullala 8 gm + BAVISTIN- 30 GRAM /15 Lit of Water.UPL
soybean,white fly,Spray Ullala 8 gm/15 Lit of Water.(flonicamid)-UPL
ridge gourd,white fly,Spray Ullala 8 gm/15 Lit of Water (flonicamid)-UPL
capsicum,white fly,Spray Ullala 8 gm+m 45 30 gm/15 Lit of Water. (Flonicamid 50% WG) UPL
bhindi,sucking pest,Spray Actra 5 gm + M-45 30 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
brinjal,sucking pest,SPRAY ADMIRE 5 GM + RIJENT 20 ML /15 liter water BAYER CROP SCIENCE
chillies,sucking pest,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
bitter gourd,sucking pest,BIO 303 - 22 ML / 15 LITERS OF WATER DAMAN.
cotton,sucking pest,Spray Neem ark 30 ml/15 liter water.
cucumber,sucking pest,confidor 10 ml /super confidor 10 ml (Imidacloprid) /15 liter water
green gram,sucking pest,Spray Rogar 15ml/15 Liter of Water(Dimethoate)-Cheminova
onion,sucking pest,Spray Actra 5 gm+ Bavistine 30gm /15 liter of water.
papaya,sucking pest,Spray Ullala 8 gm/15 Lit of Water. (Flonicamid 50% WG) UPL
ridge gourd,sucking pest,Lancer Gold 51.8 SP 30 GM+m 45 30 gm /15 LITERS OF WATER -(Acephate 50 + Imidacloprid 1.8 SP) UPL
soybean,sucking pest,Spray Tilt 2.5 ml +Coragen 5ml/15 Lit of Water. (
turmeric,sucking pest,Lancer Gold 51.8 SP 30 GM+m 45 30 gm /15 LITERS OF WATER -(Acephate 50 + Imidacloprid 1.8 SP) UPL
tomato,sucking pest,Spray Actra 8 gm/15 Liter of Water(Thiomithoxom 25%)
cotton,thrips,Spray Actra 5 gm +bavistin 30 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
cucumber,thrips,Spray Alika 8 ml / 15 lit of water (Thiamethoxam (12.6%) + Lambdacyhalothrin (9.5%) ZC )Syngenta
tomato,thrips,Spray super confidor 04 ml /15 liter of water(Imida 17.8 sl)-Bayer
turmeric,thrips,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
wheat,thrips,"
  
  SPRAY RIDOMIL GOLD 30 GM + KARATE 25 ML / 15 LITERS OF WATER."
brinjal,thrips, Spray Admire 5 gm/15 Liter of Water (Imida 70 WP) Bayer
bitter groud,thrips,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
chillies,thrips,Spray Alika 8 ml / 15 lit of water (Thiamethoxam (12.6%) + Lambdacyhalothrin (9.5%) ZC )Syngenta
cotton,blight,Spray Alika 8 ml + m-45 30 gm / 15 lit of water (Thiamethoxam (12.6%) + Lambdacyhalothrin (9.5%) ZC )Syngenta
bitter groud,blight,blight on bitter gourd: Spray M-45 30 gm /15 liter water.(Mancozeb) INDOFIL
brinjal,blight,Spray Amistar 5 ml/15 Liter of Water(Azactrostrobin)-Syngenta
chillies,blight,SPRAY TAQAT 15 GM / 15 LITERS OF WATER (HEXACONAZOLE 5% + CAPTAN 70% WP) TATA RALLIS INDIA
onion,blight,Spray Redomil Gold 30 gm/15 Liter of Water(Mephonaxon+Mancozeb)-Syngenta
pigeon peas,blight,Spray Blue copper -30 gm/15 lit water.(COPPER OXYCHLORIDE 50% WP) SYNGENTA
soybean,blight,Spray Actra 5 gm +Bavistine 30gm /15 Liter of Water(Thiomithoxom 25%)-Syngenta
turmeric,blight,SPRAY BAVISTIN â€“ 30 GRAMS IN 15 LITER OF WATER
tomato,blight,FOR CONTROL OF BLIGHT ON TOMATO SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL
wheat,blight,attack of blight on wheat - Spray Ridomil Gold 45 gm/15 Liter of Water(Mephonaxon+Mancozeb)-Syngenta
bitter groud,aphid,"fighter 10 mili + bavistin 30 gram + excite 15 mili _ spray on crop. 
  
  Management:
  
  
  
  Spray any one of the following insecticides (500 l spray fluid/ha)
  
  Imidacloprid 200 SL at 100 ml/ha
  
  Methyl demeton 25 EC 500 ml/ha
  
  Dimethoate 30 EC 500 ml/ha
  
  Phosphamidon 40 SL 600 ml/ha.
  
  NSKE 5%
  
  Monitoring the activities of the alate adult by setting up yellow sticky traps"
black gram,aphid,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
brinjal,aphid,Spray Alika 8 ml / 15 lit of water (Thiamethoxam (12.6%) + Lambdacyhalothrin (9.5%) ZC )Syngenta
chillies,aphid,Spray Actra 5 gm /15 liter of water.
cotton,aphid,Lancer Gold 51.8 SP 30 GM /15 LITERS OF WATER -(Acephate 50 + Imidacloprid 1.8 SP) UPL
marigold,aphid,Spray actra 5 gram + Spray Cabriotop 45 gm/15 Liter of Water
mothbean,aphid,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
pigeonpea,aphid,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
tomato,aphid,Spray Rogar 15 ml + bavistin-30 gram /15 Liter of Water(Dimethoate)-Cheminova
black gram,leaf hoppers,Spray Actra 5 gm + Bavistin- 30 gram /15 Liter of Water(Thiomithoxom 25%)-Syngenta
chillies,leaf hoppers,Spray Rijent 20 ml/15 liter water.BAYER CROP SCIENCE
black gram,leaf miner,Spray Neem ark 30 ml/15 liter water.
marigold,leaf miner,Spray Neem ark 30 ml/15 liter water.
cucumber,leaf miner,spray cyantraniliprole 10.26% 1 ml / 1 liter of water.
ridge groud,leaf miner,LEAF MINER ON RIDGE GOURD-Spray Politrin-C-35 ml/15 liter water.
soybean,leaf miner,Spray Politrin-C 35 ml/15 liter water
bottle gourd,fruit drop ,spraying of 00:52:34 - 60 gram + calshiam 25 gram + boron 25 gram / 15 liter water
mango,fruit drop ,DRENCHING OF CALCIUM NITRATE 40 GM + BORON 40 GM/15 LITER WATER
ridge gourd,fruit drop ,Spray Plano fix 5ml/15 Lit of Water.(NAA) BAYER
brinjal,shoot borer,Spray Proclaim 5 gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta
pigeonpea,shoot borer,SHOOT BORER ON REDGRAM CROP - Spray Proclaim 7gm/15lit of Water. (Emamectin Benzoate 5% SG)-
soybean,shoot borer,Decis 100-4 ml/15 liter water.( Deltamethrin 100 % EC) Byer Crop Science
brinjal,wilt,DRAINCHING OF BLUE COPPER 30 GM + HUMIC ACID 30 ML/15 LITER WATER
chillies,wilt,Drenching of Blue Copper 30 gm / 15 liter of water(Copper Oxichloride)-syngenta
cotton,wilt,DRAINCHING OF BLUE COPPER 30 GM + HUMIC ACID 30 ML/15 LITER WATER
cowpea,wilt,DRENCHING OF Blue copper -30 gm + HUMIC ACID 30 ML /15 lit water
drum stick,wilt,Spray m-45 30 gm /15 liter water.(Mancozeb) INDOFIL
mango,wilt,drenching with bavistin 30gm + humic acid 30ml/ 15 lit of water
onion,wilt,Spray Redomil Gold 30 gm/15 Liter of Water(Mephonaxon+Mancozeb)-Syngenta
pigeonpea,wilt,DRENCHING BAVISTINE 30 GM / 15 LITER WATER
soybean,wilt,Redomil Gold 45 Gm+Humic Acid 30 Ml(Mephonaxon+Mancozeb)Syngnt
brinjal,leaf spot,Spray Natio 06 gm/15 Liter of Water (Tebuconyazol 50 %+Trifloxystrobin 25%) -BAYER CROP SCIENCE
soybean,leaf spot,SPRAY M 45 30 GM /15 LITER WATER(mancozeb)Dow Agro
sponge gourd,leaf spot,For control of leaf curl and leaf spot on sponge gourd Spray Kavach 30 gm + Actra 5 gm /15 Liter of Water(Chlorothalonil 75 % WP)-Syngenta
chillies,flower drop,Spray Plano fix 5ml/15 Lit of Water.(NAA) BAYER
brinjal,flower drop,BRINJAL FLOWER DROP : C BIOTECH PHOOL GRIP 2 MILEE PER LITER
tomato,flower drop,Spray Plano fix 3ml/15 Lit of Water.
mamgo,flower drop,spray nitrobenzen 20ml/ 15 lit of water
pigeonpea,flower drop,SPRAY PLANOFIX 4 ML(Bayer) /15 LITER WATER (Alpha napthyl acetic acid)
cabbage,white grub,DRENCHING OF HAMALA 550 40 ML/15 LITERS OF WATER
paddy,white grub,Use Fertera 4 kg /acre
onion,white grub,Humnasur 6 kg/acre(Patil Biotech)
chillies,white grub,Drenching of Chloropyriphos 40 ml / 15 lit of water.
pigeonpea,white grub,DRENCHING OF HAMALA 550 40 ML/15 LITERS OF WATER
soybean,white grub,Use Thimet 4 kg/acre(diethyl S- phosphorodithioate)mvac
sugarcanre,white grub,Use Fertera 4 kg /acre
turmeric,white grub,hamala-1.5 liter / 200 liter water in drip
chillies,leaf curl,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
pigeon pea,leaf curl,Spray Quinolphos 30 ml + bavistin 30 gm/15 liter of water.
sponge groud,leaf curl,Spray Kavach 30 gm + Actra 5 gm /15 Liter of Water(Chlorothalonil 75 % WP)-Syngenta
cotton,pink bollworm,Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta
cotton,pod borer,Spray Profex super 30 ml/15 liter water.( Profenofos 40% + Cypermethrin4% )Nagarjuna
groundnut,pod borer, Spray Chloropyriphos 30 ml/15 Lit of Water.
pigeonpea,pod borer,Spray Quinolphos 30 ml / 15 liter water
soybean,pod borer,Spray Profex super 20 ml/15 liter of water(Profenofos+ Cypermethrin) -Nagarjuna
french bean,yellowing of leaves,bavistin- 30 gram + microla- 30 mili / 15 liter water
marigold,yellowing of leaves,Spray Bavistine 30gm/15lit of Water.
cotton,pod borer,Spray Profex super 30 ml/15 liter water.( Profenofos 40% + Cypermethrin4% )Nagarjuna
groundnut,pod borer,Spray Chloropyriphos 30 ml/15 Lit of Water.
pigeonpea,pod borer,Spray Quinolphos 30 ml / 15 liter water
soybean,pod borer,Spray Profex super 20 ml/15 liter of water(Profenofos+ Cypermethrin) -Nagarjuna
ridge gourd,leaf minor attack,spraying of curacron 1 mili / 1 liter water
soybean,girdle beetle,spray quinolphos 30 ml / 15 litter of water for controlling girdle beetle on soybean
soybean,mealy bug,SPRAY NUVAN 20 ML / 15 LITERS OF WATER ( Dichlorvos 76% EC)
pigeonpea,mealy bug,spray verticilium lacani 5 gram / 1 liter of water.
turmeric,rot,drenching redomil gold 30 gm / 15 litter of water for controlling rotting of turmeric plants
tomato,rot,DRENCHING OF BAVISTIN 30 GM + HUMIC ACID 30 ML /15 LITER WATER.
bitter groud,rot,"fighter 10 mili + bavistin 30 gram + excite 15 mili _ spray on crop. 
  
  Management:
  
  
  
  Spray any one of the following insecticides (500 l spray fluid/ha)
  
  Imidacloprid 200 SL at 100 ml/ha
  
  Methyl demeton 25 EC 500 ml/ha
  
  Dimethoate 30 EC 500 ml/ha
  
  Phosphamidon 40 SL 600 ml/ha.
  
  NSKE 5%
  
  Monitoring the activities of the alate adult by setting up yellow sticky traps"
chillies,rot,DRENCHING OF bavistin 30 gm+ HUMIC ACID 30 ML/15 LITER WATER .
